ID, Nome, Preco, Minimo de noites
0,name,0,0
1,Westwood lovely three bedrooms three bathrooms,399,30
2,Charming Beverly Hills Home,434,30
3,Tianpu's warm room with bathroom,49,1
4,2 Bedroom Modern Oasis,110,30
5,Luxury Waterfront Retreat | Rooftop View,1179,2
6,Modern Resort-Style Home in West Hollywood,1244,3
7,Lovely High Rise in Ktown,250,30
8,Downtown Loft,200,30
9,Weho 2 bdrm townhouse Prime location w/ parking,213,2
10,Lovely 2-bedroom Apt by Beverly and the Grove,95,30
11,Enchanting Venice Bungalow Oasis 1 Blk From Beach,298,3
12,1BR Culver City Apt by Just Bring Your Toothbrush!,110,4
13,Modern Hollywood Hills house,319,1
14,Beverly Hills Oasis 2 BR Apt Parking Pool Access,282,2
15,Chic Apartment in the Heart of Beverly Hills #8,153,2
16,Peaceful Queen Bed Unit,150,1
17,Canal Dreams: Venice Beach Luxury a Block to Beach,1080,30
18,Clean Fresh Cozy Private Room in West Hollywood,145,2
19,Work from Home ON the Venice Beach Canals!,147,30
20,Couch in living room,77,30
21,Blueground | NoHo walk to restaurants & art,250,31
22,Charming Walk Street Hideaway by Open Air Homes,396,3
23,Bunk bed in Santa Monica 3,30,30
24,Historical Landmark Queen-Ann Bungalow,191,2
25,Hollywood 1Bed Apt w Rooftop pool & Panoramic View,170,2
26,Beachy Garden Guesthouse,280,3
27,Venice Flower Cottage: Ideal WFH + dry sauna,220,30
28,Cute Bedroom For Rent,91,1
29,Studio Hollywood | View of Hills | Month to Month,47,30
30,Charming 1B in KTown,89,30
31,Cozy 1 bd LAX free pool tub,128,1
32,Location location Santa Monica west Los Angeles,73,30
33,Villa Shad,6210,30
34,Elegant Marina Condo - 1BR/1BA,132,31
35,The Zen Room,98,30
36,Centrally located room for rent in heart of city.,89,15
37,Large Bedroom in Redondo Beach,96,3
38,Beachside Apt 2Beds + 2Baths & Free Parking!,268,2
39,Hollywood Home,188,30
40,Modern Noho Apartment,85,30
41,Franklin Mediterranean Villa,1325,31
42,ZEN STUDIO - 6 blocks from BEACH!,190,4
43,House in Culver City,140,1
44,Lovely Single Apartment #5,80,30
45,Nice & Cozy 1 bedroom DTLA,156,2
46,Cozy and elegant apartment,110,30
47,Wilshire walking distance UCLA,61,30
48,Central LA location 2bed/1Bath Cloverdale #8,55,30
49,Huge 2-Bed/2-Bath near Ace Hotel Staples & LACC,184,2
50,Small place in big city,95,30
51,Spacious comfy one bedroom guest house,135,30
52,The Zen Room,98,30
53,cheerful weho house,800,30
54,Chic one bedroom unit with private backyard.,115,31
55,@Ktown@Cozy with LA VIBE 3 B- 3B,179,2
56,Stunning Culver City Compound!,625,30
57,S-D Stay Home workers/Students,25,30
58,T-Luxury Condo-Free Parking-Rooftop Pool & Spa,125,2
59,VILLA BY THE SEA,850,30
60,Gracious Getaway,126,30
61,Pet-Friendly Paradise,350,30
62,Casita on Wooster,535,30
63,Silverlake/Echopark home,140,3
64,Cozy Camper with Working Kitchen,80,1
65,See LA in Style from This Chic Mini Apartment,95,30
66,Luxury Beach Getaway.,257,1
67,Private Bedroom w/Private Bath A2,42,30
68,The Zen Room,98,30
69,Rosecrans Place- females only,75,30
70,Master Bedroom,103,1
71,Metropolitan Private 1-Bed,112,30
72,Primary Bedroom-Bath with Balcony,65,1
73,west hollywood bedroom,46,30
74,Stylish 2BR/2BA Urban Getaway,200,30
75,Guest Room in Los Angeles,64,30
76,The Prada Two-Bedroom Suite,234,30
77,Modern Luxury in Brentwood's Prime Location,313,30
